73 11032 46122
0 0 122.410003662 65.549987793
1 0 123.38999939 60.0300292969
4 0 122.680000305 70.5399780273
8 0 126.959999084 77.3200073242
20 0 137.289993286 93.6799926758
38 0 149.160003662 109.900001526
47 0 153.589996338 114.589996338
56 0 158.5 120.059997559
0 1 -38.3800010681 163.820007324
1 1 -25.25 146.770004272
2 1 -45.5600013733 173.050003052
3 1 -31.8999900818 154.330001831
4 1 -51.2999916077 183.539993286
5 1 -24.079990387 137.910003662
6 1 -57.1799888611 194.020004272
7 1 -21.8200092316 132.190002441
8 1 -63.8500099182 207.570007324
9 1 -71.8700027466 221.910003662
10 1 -20.1900005341 119.379997253
11 1 -20.4699993134 126.230003357
12 1 -86.3299865723 252.050003052
13 1 -18.5100097656 114.970001221
15 1 -93.8500137329 268.380004883
17 1 -113.290000916 311.160003662
20 1 -103.269996643 288.730010986
33 1 -137.449996948 361.109985352
35 1 -123.180000305 336.049987793
38 1 -155.089996338 399.070007324
47 1 -176.729995728 438.399993896
56 1 -199.600006104 487.709991455
70 1 -223.740005493 538.559997559
0 2 126.029998779 48.710018158
1 2 125.660003662 47.0100097656
3 2 126.120002747 48.9000205994
5 2 120.739997864 44.6099891663
7 2 116.099998474 44.2700195312
10 2 107.86000061 40.4899902344
11 2 112.190002441 43.0600013733
13 2 104.849998474 38.9500083923
16 2 96.7600097656 36.2600097656
22 2 100.720001221 37.4299888611
30 2 90.359992981 35.4099693298
34 2 82.9599914551 34.960018158
39 2 84.3500137329 34.8400306702
43 2 80.390007019 33.7999916077
45 2 89.5700073242 34.039981842
60 2 95.0299987793 34.8499794006
64 2 98.2300109863 34.6099891663
0 3 117.010002136 90.1900024414
1 3 118.629997253 83.299987793
4 3 116.660003662 96.2099914551
6 3 118.13999939 99.7900085449
8 3 120.510002136 105.040000916
9 3 121.930000305 109.690002441
12 3 126.459999084 117.849998474
20 3 129.75 126.900001526
33 3 137 141.699996948
35 3 134.679992676 137.009994507
0 4 -23.329990387 91.4400024414
1 4 -14.0499897003 85.140007019
2 4 -28.579990387 94.3200073242
3 4 -18.6400108337 87.5700073242
6 4 -35.7999916077 101.599998474
0 5 178.75 24.1599693298
1 5 175.020004272 20.1799907684
0 6 102.290000916 86.6000137329
1 6 104.849998474 79.9700012207
2 6 100.760002136 89.140007019
3 6 103.790000916 83.3099975586
4 6 101.279998779 92.9599914551
5 6 101.010002136 75.9299926758
6 6 102.599998474 96.1299972534
7 6 97.9800109863 73.9400024414
8 6 104.010002136 100.849998474
10 6 91.0599975586 68.2800292969
11 6 94.9800109863 71.4000167847
12 6 108.529998779 113.11000061
13 6 88.8099975586 66.2899780273
15 6 110.040000916 116.599998474
16 6 81.5899963379 61.4899902344
17 6 112.730003357 126.86000061
20 6 111.199996948 121.989997864
22 6 85.0100097656 63.9399986267
30 6 75.7900085449 59.2999916077
34 6 68.890007019 57.3800010681
35 6 115 131.919998169
39 6 70.9400024414 55.1400108337
43 6 66.9599914551 54.7700195312
45 6 76.3200073242 52.8599891663
70 6 131.779998779 162.300003052
0 7 277.649993896 -10.0700101852
1 7 242.429992676 -12.4399995804
2 7 303.010009766 -9.5
3 7 260.600006104 -9.5
4 7 329.950012207 -8.67999267578
5 7 223.320007324 -13.1400098801
6 7 365.130004883 -10.0999803543
7 7 208 -13.1799898148
10 7 182.169998169 -12.8400297165
11 7 194.429992676 -12.5700101852
13 7 172.100006104 -12.4500102997
16 7 152.229995728 -12.8200101852
22 7 161.509994507 -12.6300001144
30 7 141.309997559 -13.0600004196
34 7 130.429992676 -13.1799898148
39 7 127.069999695 -12.4500102997
43 7 125.11000061 -14.0300302505
45 7 129.529998779 -13.5499897003
54 7 -105.519996643 -4.39001512527
60 7 133.190002441 -12.5499897003
61 7 -62.0400085449 -3.03002905846
64 7 134.190002441 -12.2999897003
67 7 -144.979995728 -5.26000976562
0 8 164.88999939 122.819999695
1 8 159.899993896 110.940002441
2 8 167.220001221 128.679992676
3 8 162.550003052 116.510002136
4 8 171.740005493 135.729995728
5 8 152.070007324 104.220001221
6 8 177.779998779 142.380004883
7 8 146.270004272 98.9400024414
8 8 183.589996338 153.220001221
9 8 190.960006714 161.449996948
10 8 134.009994507 89.9400024414
11 8 140.410003662 94.4299926758
12 8 208.869995117 181.309997559
13 8 129.929992676 86.1799926758
14 8 199.869995117 170.210006714
15 8 218.220001221 191.080001831
16 8 118.940002441 78.6200027466
17 8 237.789993286 218.330001831
20 8 227.470001221 204.679992676
22 8 124.120002747 82.359992981
30 8 111.230003357 75.450012207
34 8 102.919998169 72.5700073242
35 8 249.529998779 233.169998169
38 8 274.959991455 274.290008545
39 8 102.449996948 68.299987793
43 8 99.3700027466 68.9199829102
45 8 106.870002747 65.0399780273
60 8 111.440002441 64.1200027466
64 8 113.86000061 61.7600097656
0 9 123.38999939 5.03997802734
1 9 124.370002747 4.11999511719
2 9 121.849998474 4.94000196457
3 9 124.75 4.71002197266
4 9 122.150001526 5.44000196457
5 9 120.080001831 3.46997094154
6 9 123.489997864 5.78002882004
7 9 115.930000305 3.69000196457
8 9 125.709999084 8
9 9 128.119995117 9.72998046875
10 9 108.040000916 3.13000488281
11 9 111.849998474 4.02002000809
12 9 133.940002441 10.0499897003
13 9 105.120002747 3.34997606277
14 9 131.779998779 9.48999023438
